name,quality_score,deployable,has_dockerfile,has_tests,size_mb,file_count,has_readme,has_license
ai-dev-team,40,False,False,False,1.23,163,True,False
ai-development-control-system,40,False,False,False,1.39,183,True,False
ai-ecosystem-builder,40,False,False,False,1.36,199,True,False
AI-Empire-Mission-Control,10,False,False,False,0.03,27,False,False
ai-empire-monitoring-suite,65,False,False,False,0.76,97,True,True
ai-gradio,65,False,False,False,0.54,88,True,True
ai-hub-command-center,40,False,False,False,2.13,216,True,False
ai-influencer-platform,25,False,False,False,0.03,46,False,True
ai-insight-hub,90,True,True,False,1.62,228,True,True
ai-keykeeper,65,True,True,False,1.6,233,True,False
ai-knowledge-weaver,40,False,False,False,1.97,234,True,False
ai-money-maker-au,40,False,False,False,1.53,175,True,False
ai-muse-studio,40,False,False,False,1.63,230,True,False
ai-music-director,40,False,False,False,1.77,160,True,False
ai-navigator-hub,40,False,False,False,1.67,238,True,False
ai-navigator-pro,40,False,False,False,0.87,140,True,False
ai-nexus-command-center,65,True,True,False,1.54,197,True,False
ai-nexus-command-center-13,40,False,False,False,1.51,203,True,False
ai-nexus-hub,40,False,False,False,1.66,240,True,False
ai-nexus-project-hub,40,False,False,False,1.17,178,True,False
ai-nexus-toolkit,40,False,False,False,1.59,237,True,False
ai-ops-nexus-hub,40,False,False,False,1.92,257,True,False
ai-phone-farm-platform,40,False,False,False,1.76,259,True,False
ai-phone-farming-platform,20,False,False,False,0.26,133,False,False
ai-pilot-house,40,False,False,False,1.32,157,True,False
ai-pilot-station,40,False,False,False,1.42,167,True,False
ai-project-manager-platform,40,False,False,False,1.57,244,True,False
ai-pulse-dashboard,40,False,False,False,1.88,240,True,False
ai-pulse-dashboard-72,65,True,True,False,1.9,246,True,False
ai-pulse-hub,40,False,False,False,1.21,154,True,False
ai-pulse-nexus-ticker,90,True,True,False,1.1,177,True,True
ai-research-monitor,40,False,False,False,1.34,206,True,False
ai-resource-guardian,65,True,True,False,2.14,257,True,False
ai-s-global-hub,40,False,False,False,1.31,161,True,False
ai-super-assistant-platform,65,False,False,False,3.2,124,True,True
ai-synthesis-machine,40,False,False,False,1.42,149,True,False
ai-tech-giga-dash,40,False,False,False,1.65,222,True,False
ai-text-stripper,40,False,False,False,1.39,198,True,False
ai-tool-discovery-platform,30,False,False,False,0.03,46,True,False
ai-tool-discovery-platform-1,30,False,False,False,0.03,46,True,False
ai-tool-discovery-platform-10,30,False,False,False,0.03,46,True,False
ai-tool-discovery-platform-11,30,False,False,False,0.03,46,True,False
ai-tool-discovery-platform-2,30,False,False,False,0.03,46,True,False
ai-tool-discovery-platform-3,30,False,False,False,0.03,46,True,False
ai-tool-discovery-platform-4,30,False,False,False,0.03,46,True,False
ai-tool-discovery-platform-5,30,False,False,False,0.03,46,True,False
ai-tool-discovery-platform-6,30,False,False,False,0.03,46,True,False
ai-tool-discovery-platform-7,30,False,False,False,0.03,46,True,False
ai-tool-discovery-platform-8,30,False,False,False,0.03,46,True,False
ai-tool-discovery-platform-9,30,False,False,False,0.03,46,True,False
ai-tool-guardian-angel,40,False,False,False,1.35,179,True,False
ai-toolkit-nexus-forge,40,False,False,False,1.74,216,True,False
ai-toolkit-nexus-forge-83,40,False,False,False,1.47,197,True,False
ai-tools-directory,10,False,False,False,0.03,27,False,False
ai-trial-tracker,40,False,False,False,1.28,201,True,False
ai-trial-tracker-pro,65,True,True,False,1.05,177,True,False
ai-usage-guardian-angel,40,False,False,False,1.96,216,True,False
ai-usage-navigator,40,False,False,False,1.92,230,True,False
ai-vibe-hub,40,False,False,False,1.8,260,True,False
ai-voice-agency,40,False,False,False,1.47,198,True,False
ai-wisdom-vault,40,False,False,False,2.05,223,True,False
ai-world-navigator,40,False,False,False,1.82,196,True,False
aiaccountoptimizer,10,False,False,False,0.03,27,False,False
AIAccountOptimizerreplit,10,False,False,False,0.03,27,False,False
AIChorus,10,False,False,False,0.03,27,False,False
aicodeecoemerg,50,False,False,True,0.46,154,True,False
aicodingassistbolt,40,False,False,False,0.5,75,True,False
aicodingbolt,40,False,False,False,1.34,121,True,False
aider,85,True,True,True,138.84,813,True,False
AiDiscountHunter,10,False,False,False,0.03,27,False,False
aiecosystem,40,False,False,False,0.91,138,True,False
AIFreeTierTrackerbolt,50,False,False,False,0.7,164,True,False
aigenius-toolkit,40,False,False,False,2.25,264,True,False
aiinggfbolt,40,False,False,False,1.37,146,True,False
aiittoolsbolt,40,False,False,False,0.57,113,True,False
aiproj,40,False,False,False,0.92,126,True,False
aiprojectbolt,40,False,False,False,0.48,84,True,False
aitoolkitbolt,40,False,False,False,0.64,110,True,False
aitoolv0,40,False,False,False,1.1,176,True,False
aittradingbolt,40,False,False,False,1.12,141,True,False
aiusage,10,False,False,False,0.03,27,False,False
aiusemaxbolt,40,False,False,False,0.37,91,True,False
aiworkspace,40,False,False,False,0.79,106,True,False
aiwriting,55,False,False,False,1.57,206,True,True
allinonecryptobolt,40,False,False,False,0.63,114,True,False
allone,40,False,False,False,0.82,203,True,False
allspark-dev-studio,40,False,False,False,1.37,172,True,False
alpha-ai-crypto-trader,75,True,True,False,2.14,214,True,False
alpha-ai-trade-hub,65,True,True,False,2.85,316,True,False
antique-vista-verify,75,True,True,False,1.51,215,True,False
api,10,False,False,False,0.03,27,False,False
api-idea-genesis,40,False,False,False,1.46,210,True,False
api-key-management-dashboard,10,False,False,False,0.03,27,False,False
ApiKeyFlow,10,False,False,False,0.03,27,False,False
apple-bug-bounty-profit-platform,40,False,False,False,1.44,187,True,False
arcana-craft,40,False,False,False,1.54,177,True,False
Archon,75,False,False,True,13.12,778,True,True
art-echo-creator,40,False,False,False,1.71,216,True,False
artbot-crypto-verse,40,False,False,False,1.11,147,True,False
artspark-gallery-verse,40,False,False,False,1.68,200,True,False
artspark-nft-haven,75,True,True,False,1.25,208,True,False
artspark-nft-hub,40,False,False,False,1.78,203,True,False
ashai,30,False,False,False,0.03,46,True,False
Ashlee69r_ai-dev-command,90,True,True,False,1.49,201,True,True
Ashlee69r_ai-dev-command-1,90,True,True,False,2.18,229,True,True
Ashlee69r_ai-dev-command-41725,90,True,True,False,1.39,170,True,True
Ashlee69r_ai-dev-command-clone,75,False,False,True,1.44,254,True,True
Ashlee69r_ai-ecosystem-builder,90,True,True,False,1.36,202,True,True
Ashlee69r_ai-hub-command-center,90,True,True,False,2.13,219,True,True
Ashlee69r_ai-knowledge-weaver,90,True,True,False,1.97,237,True,True
Ashlee69r_ai-music-director,90,True,True,False,1.77,163,True,True
Ashlee69r_ai-project-manager-platform,65,False,False,False,1.58,246,True,True
Ashlee69r_allone,65,False,False,False,0.82,205,True,True
Ashlee69r_australian-location-tracking-education,65,False,False,False,1.28,152,True,True
Ashlee69r_b-7161,75,False,False,True,1.53,251,True,True
Ashlee69r_base44clone,75,False,False,True,0.25,138,True,True
Ashlee69r_chat-harmony-archiver,65,False,False,False,0.97,154,True,True
Ashlee69r_chat-organizer-ultimate,90,True,True,False,1.71,263,True,True
Ashlee69r_chat-scribe-ai-organizer,90,True,True,False,1.62,232,True,True
Ashlee69r_chat-scribe-wiki-forge,65,False,False,False,1.14,200,True,True
Ashlee69r_chat-whisperer-ai-organizer,90,True,True,False,2.27,285,True,True
Ashlee69r_cortex-project-space,65,False,False,False,1.77,212,True,True
Ashlee69r_cortex-project-space-37294,65,False,False,False,1.67,214,True,True
Ashlee69r_cryptoclone,75,False,False,True,0.74,76,True,True
Ashlee69r_dating,65,False,False,False,0.6,146,True,True
Ashlee69r_multi-platform-monetization-strategy,65,False,False,False,2.2,266,True,True
Ashlee69r_repo-prompt-master,65,False,False,False,1.74,173,True,True
Ashlee69r_sky-share-viewer,65,False,False,False,0.99,148,True,True
Ashlee69r_socialv0,65,False,False,False,0.79,203,True,True
Ashlee69r_v0-clone-website,65,False,False,False,0.68,155,True,True
Ashlee69r_v0-prompt-organizer,65,False,False,False,0.42,96,True,True
Ashlee69r_v0-webui-for-text-analysis,90,True,True,False,1.23,228,True,True
aud-ai-saver,45,True,True,False,1.44,190,False,False
aus-ai-ascend,40,False,False,False,1.35,174,True,False
AusAIAgencybolt-,40,False,False,False,0.36,78,True,False
ausaiagentcybolt,40,False,False,False,0.35,77,True,False
aussie-ai-agency,40,False,False,False,1.62,195,True,False
aussie-burnout-legends,40,False,False,False,3.88,194,True,False
aussie-burnout-legends-61,40,False,False,False,4.45,223,True,False
aussie-deals-hub,40,False,False,False,1.76,243,True,False
aussie-earn,40,False,False,False,1.15,160,True,False
aussie-metal-mayhem-motors,65,True,True,False,8.61,329,True,False
australian-location-tracking-education,40,False,False,False,1.28,150,True,False
auto-researcher-pro,40,False,False,False,1.2,165,True,False
auto-synth-ops,40,False,False,False,1.45,162,True,False
automated-app-genesis,40,False,False,False,1.1,183,True,False
avatra-content-hive,40,False,False,False,0.95,134,True,False
awesome-agents,45,False,False,False,0.04,47,True,True
awesome-ai-agents,55,False,False,False,6.69,59,True,True
awesome-ai-coding-tools,45,False,False,False,0.08,50,True,True
awesome-ai-sdks,30,False,False,False,3.33,50,True,False
awesome-browser-automation,45,False,False,False,0.07,49,True,True
awesome-claude-agents,45,False,False,False,0.05,47,True,True
awesome-claude-code,45,False,False,False,0.07,49,True,True
awesome-claude-code-subagents,65,False,False,False,1.26,181,True,True
awesome-cli,65,False,False,True,0.83,97,True,True
awesome-cli-apps,55,False,False,False,0.3,56,True,True
Awesome-Code-LLM,45,False,False,False,0.43,51,True,True
awesome-coins,55,False,False,False,0.09,54,True,True
awesome-devtools,45,False,False,False,0.04,47,True,True
awesome-mcp-servers,55,False,False,False,0.99,55,True,True
awesome-n8n,30,False,False,False,0.06,46,True,False
awesome-n8n-templates,80,True,True,False,7.33,359,True,True
awesome-nocode-lowcode,55,False,False,False,0.06,56,True,True
awesome-selfhosted,55,False,False,False,0.47,57,True,True
awesome-ui-component-library,55,False,False,False,0.15,65,True,True
b-7161,60,False,False,True,1.53,250,True,False
base44clone,50,False,False,True,0.25,136,True,False
beacon-clone-trader-dash,40,False,False,False,3.24,430,True,False
beat-clone,55,False,False,False,3.88,290,True,True
bloom-boost-social,40,False,False,False,1.7,203,True,False
BMAD-METHOD,65,False,False,False,7.23,316,True,True
bolt.diy,90,True,True,False,6.41,591,True,True
bolt2,40,False,False,False,0.52,119,True,False
boltaicrypto,40,False,False,False,0.58,111,True,False
boltaidevprojdash,40,False,False,False,0.3,76,True,False
boltaiprojmanagement,10,False,False,False,0.03,47,False,False
boltaupromange,40,False,False,False,0.96,127,True,False
boltbookmarkhub,40,False,False,False,0.92,104,True,False
boltchathistoryorg,40,False,False,False,0.41,92,True,False
boltcrypto,50,False,False,False,0.96,135,True,False
bolthypercoding,10,False,False,False,0.03,27,False,False
boltknowledgemanagement,40,False,False,False,1.84,252,True,False
boltnew,40,False,False,False,0.76,164,True,False
boltnextgencrypto,40,False,False,False,0.53,100,True,False
boltrndabout,40,False,False,False,0.95,243,True,False
boltultagentsystem,55,False,False,False,0.49,98,True,True
bookcraft-nexus-publish,40,False,False,False,1.4,190,True,False
bookmark-buddy-sort,40,False,False,False,1.08,180,True,False
bot-bloom-capital,40,False,False,False,1.38,198,True,False
bot-trading-alpha-hub,40,False,False,False,2.73,316,True,False
bot-trading-maestro,75,True,True,True,1.3,189,True,False
bot-trading-renaissance-hub,40,False,False,False,1.79,199,True,False
brainstorm-architect,40,False,False,False,2.1,204,True,False
branch-buddy-deploy,40,False,False,False,1.53,183,True,False
brave-owl,10,False,False,False,0.03,27,False,False
browse-time-insight,40,False,False,False,1.48,160,True,False
browser-quad-vision,40,False,False,False,1.05,153,True,False
browser-use,100,True,True,True,6.02,487,True,True
c-2693,75,True,True,False,7.9,266,True,False
c-3685,65,True,True,False,3.61,325,True,False
c-389547,40,False,False,False,2.92,218,True,False
c-442780,75,True,True,False,1.17,168,True,False
c-692182,40,False,False,False,7.02,208,True,False
c-8316,40,False,False,False,3.0,228,True,False
c-855294,40,False,False,False,1.23,182,True,False
canvas-royale-market,75,True,True,False,1.42,200,True,False
ccxt,85,True,True,True,258.4,7677,True,False
charm-clone-assemble-verse,75,True,True,False,1.93,242,True,False
chat-harmony-archiver,40,False,False,False,0.97,152,True,False
chat-merge-mastery,40,False,False,False,1.87,211,True,False
chat-organizer-ultimate,65,True,True,False,1.71,261,True,False
chat-saga-sorter,50,False,False,True,1.57,217,True,False
chat-saga-sorter-ad13c3d7,50,False,False,True,1.59,217,True,False
chat-scribe-ai-organizer,40,False,False,False,1.62,229,True,False
chat-scribe-wiki-forge,40,False,False,False,1.14,198,True,False
chat-spark-organizer,55,False,False,False,1.98,271,True,True
chat-whisperer-ai-organizer,50,False,False,False,2.27,283,True,False
chatbolthiostory,40,False,False,False,0.61,120,True,False
chatexporterbolt,40,False,False,False,0.23,81,True,False
ChatGPT,55,False,False,False,0.27,70,True,True
chatgpt-file-organizer,40,False,False,False,0.98,150,True,False
chathistoryboplt,50,False,False,False,1.19,141,True,False
chatify-organizer,40,False,False,False,2.16,213,True,False
chatplatformbolt,40,False,False,False,1.44,140,True,False
chatprocessor,40,False,False,False,0.98,124,True,False
chatsortbolt,10,False,False,False,0.03,27,False,False
chatsortold,40,False,False,False,1.32,228,True,False
chatter-connect-analyze-now,40,False,False,False,1.78,215,True,False
chatty-app-factory,65,True,True,False,1.57,204,True,False
cherry-studio,100,True,True,True,39.35,2307,True,True
chrome-and-country-kings,40,False,False,False,1.47,217,True,False
cladstudioemerg,50,False,False,True,0.5,148,True,False
ClaraVerse,90,True,True,False,115.21,415,True,True
claraverse-evolve-ai-nexus,40,False,False,False,2.49,281,True,False
claude-agent-forge,40,False,False,False,1.48,278,True,False
claude-code-complete-backup,100,True,True,True,104.56,240,True,True
claude-code-router,90,True,True,False,9.37,157,True,True
claude-code-subagents,55,False,False,False,0.54,186,True,True
claude-conductor,75,False,False,True,0.91,142,True,True
claude-openrouter-enterprise-system,75,False,False,True,1.21,111,True,True
claude-task-master,100,True,True,True,10.77,879,True,True
claude-web-clone-magic,40,False,False,False,1.13,161,True,False
claudia,65,False,False,False,3.33,211,True,True
clone-screenshot--chatgpt,40,False,False,False,1.49,215,True,False
cloud-companion,65,True,True,False,1.61,230,True,False
cmsbolt,40,False,False,False,1.22,132,True,False
code-and-ai-tool-discount,10,False,False,False,0.03,27,False,False
code-archaeologist-ai-explorer,50,False,False,False,1.62,234,True,False
code-archaeologist-ai-forge,75,True,True,False,1.25,180,True,False
code-archaeologist-workbench,40,False,False,False,1.93,199,True,False
code-discovery-navigator,40,False,False,False,1.41,185,True,False
code-flow-oracle,40,False,False,False,1.65,217,True,False
code-lens-ai-review,40,False,False,False,1.04,178,True,False
code-narrative-alchemy,40,False,False,False,1.4,200,True,False
Code2Docs,50,False,False,False,0.27,70,True,False
codecraft-clone,40,False,False,False,1.34,191,True,False
codeguide,65,False,False,False,0.94,152,True,True
codesnipstripper,30,False,False,False,0.03,46,True,False
cognitive-prism-analyzer,40,False,False,False,1.83,214,True,False
cogno-control-center,85,True,True,True,1.34,204,True,False
coin-alchemy-ai,40,False,False,False,1.16,192,True,False
command-center-ai,40,False,False,False,1.57,178,True,False
comment-roulette-youtube,40,False,False,False,0.87,138,True,False
compcryptobolt,40,False,False,False,1.11,140,True,False
context-engineering-intro,65,False,False,False,0.09,64,True,True
context7,90,True,True,False,0.28,78,True,True
conversation-crafter,40,False,False,False,1.41,183,True,False
cortex-project-space,40,False,False,False,1.77,210,True,False
cortex-project-space-37294,40,False,False,False,1.66,212,True,False
cosmic-craft-core,55,False,False,False,1.75,200,True,True
cosmos-ai-desk,40,False,False,False,1.51,179,True,False
cplatform,40,False,False,False,0.94,202,True,False
craft-ai-stack,40,False,False,False,1.4,171,True,False
craft-your-world-87,40,False,False,False,2.0,259,True,False
crawlee,100,True,True,True,138.08,2613,True,True
create-volo-app,100,True,True,True,12.32,107,True,True
creation-forge-kit,40,False,False,False,2.06,210,True,False
creativeforge-nexus-studio,40,False,False,False,1.4,163,True,False
creatoros-clone,40,False,False,False,1.45,208,True,False
creatoros-clone-1,40,False,False,False,1.34,177,True,False
crewAI-examples,90,True,True,False,26.94,490,True,True
crush,65,False,False,False,4.07,811,True,True
crypto-ai-hivemind,40,False,False,False,1.9,208,True,False
crypto-ai-horizon-dashboard,40,False,False,False,1.02,169,True,False
crypto-ai-nexus-dashboard,100,True,True,True,2.14,273,True,True
crypto-ai-research--trading-hub,40,False,False,False,1.07,166,True,False
crypto-ai-research--trading-hub-1,40,False,False,False,1.03,168,True,False
crypto-ai-tradeflow-nexus,75,True,True,False,2.5,256,True,False
crypto-ai-trading-platform,40,False,False,False,1.17,197,True,False
crypto-all-in-one,75,True,True,False,1.47,206,True,False
crypto-automa-pilot,40,False,False,False,2.56,295,True,False
crypto-beacon-fusion-hub,75,True,True,False,5.19,580,True,False
crypto-beacon-trader-hub,65,False,False,False,3.2,466,True,True
crypto-beacon-trader-hub-11,75,True,True,False,4.35,720,True,False
crypto-command-center-lovable,40,False,False,False,2.18,309,True,False
crypto-cosmos-nexus,40,False,False,False,1.19,165,True,False
crypto-dream-trade-sim,65,False,False,False,2.53,291,True,True
crypto-dream-trade-sim-11,65,True,True,False,4.58,513,True,False
crypto-dream-trade-sim-18,40,False,False,False,3.76,413,True,False
crypto-dream-voyage-sim,40,False,False,False,1.02,154,True,False
crypto-finder--miner,40,False,False,False,1.41,288,True,False
crypto-flow-nexus-ai,65,True,True,False,1.29,208,True,False
crypto-forge-master,65,True,True,False,1.76,242,True,False
crypto-fusion-genesis,75,True,True,False,1.8,264,True,False
crypto-fusion-nexus-flow,40,False,False,False,2.32,251,True,False
crypto-fusion-quest,75,True,True,True,1.01,189,True,False
crypto-genesis-ai,40,False,False,False,0.93,163,True,False
crypto-lovable-trader,40,False,False,False,2.5,301,True,False
crypto-navigator-ai,40,False,False,False,1.85,191,True,False
crypto-nexus-automator,85,True,True,True,1.59,227,True,False
crypto-nexus-automator-41,10,False,False,False,0.03,27,False,False
crypto-nexus-automator-41-33e32191,10,False,False,False,0.03,27,False,False
crypto-nexus-automator-41-e423d3fc,10,False,False,False,0.03,27,False,False
crypto-nexus-compass,40,False,False,False,2.51,278,True,False
crypto-nexus-fusion,65,True,True,False,3.26,318,True,False
crypto-nexus-fusion-07,65,True,True,False,4.33,454,True,False
crypto-sim-alpha,75,True,True,False,1.27,173,True,False
crypto-vision-suite,65,True,True,False,2.65,353,True,False
crypto-woods-alpha,75,False,False,True,1.81,235,True,True
crypto-woods-trader-sim,75,True,True,False,1.53,192,True,False
crypto-woods-ulitmate-26,65,True,True,False,4.51,459,True,False
cryptoai-trade-commander,40,False,False,False,1.36,182,True,False
cryptoai-trade-forge,40,False,False,False,3.44,376,True,False
cryptoai-tradeflow-nexus,40,False,False,False,4.22,491,True,False
cryptobolt,40,False,False,False,1.0,105,True,False
cryptobot-nexus-ai,40,False,False,False,0.93,158,True,False
cryptoclone,50,False,False,True,0.74,74,True,False
cryptonaut-ai-terminal,40,False,False,False,2.31,262,True,False
cryptotrade-pro,10,False,False,False,0.03,27,False,False
cybersecurity-enterprise-suite,55,False,False,False,0.23,59,True,True
darkflow-ai-nexus,50,False,False,False,1.35,192,True,False
dating,40,False,False,False,0.6,144,True,False
deepclaude,90,True,True,False,2.07,127,True,True
DeepSeek-Coder-V2,55,False,False,False,4.64,59,True,True
deepwiki-open,100,True,True,True,7.08,190,True,True
deer-flow,100,True,True,True,6.31,388,True,True
design-source-hub,65,True,True,False,1.77,203,True,False
dev-chatgpt-prompts,30,False,False,False,0.06,46,True,False
dev-forge-omni,40,False,False,False,2.11,198,True,False
dev-plan-nexus,75,True,True,False,1.26,177,True,False
dev-stream-seek,40,False,False,False,1.66,169,True,False
dev-workflow-commander,10,False,False,False,0.03,27,False,False
devflow-matrix,40,False,False,False,1.31,196,True,False
DevMonitor-Widget,55,False,False,False,0.2,81,True,True
diagram-insight-ai,40,False,False,False,1.19,199,True,False
digest-email-forge,40,False,False,False,1.43,198,True,False
digital-trading-flow,40,False,False,False,2.9,337,True,False
directorybolt,40,False,False,False,0.25,76,True,False
ditto,55,False,False,False,0.06,53,True,True
docu-prime,40,False,False,False,1.05,156,True,False
dream-crypto-trade-sim,40,False,False,False,1.08,162,True,False
dream-trade-adventures-club,40,False,False,False,2.47,256,True,False
dream-trade-forge,40,False,False,False,1.38,173,True,False
drive-doctor-dash,40,False,False,False,1.51,208,True,False
dyad,90,True,True,False,4.24,381,True,True
earn-big-now,40,False,False,False,1.45,213,True,False
echo-chamber-of-wisdom,40,False,False,False,0.98,170,True,False
eliza,100,True,True,True,40.03,1908,True,True
ember-build-spark,40,False,False,False,1.19,177,True,False
emergent,50,False,False,True,0.27,128,True,False
Empire-Active-Labs,10,False,False,False,0.03,27,False,False
Empire-Brain-Scripts,10,False,False,False,0.03,27,False,False
Empire-Revenue-Suites,10,False,False,False,0.03,25,False,False
engage-boost-social-reach,65,True,True,False,2.03,201,True,False
engage-flow-insights-ai,40,False,False,False,1.55,191,True,False
engage-nexus-metrics,40,False,False,False,1.34,179,True,False
escorts--babes-clone,40,False,False,False,0.96,139,True,False
fastapi_mcp,75,False,False,True,0.81,150,True,True
favsort,40,False,False,False,0.53,140,True,False
firecrawl,75,False,False,True,44.91,877,True,True
firefox,40,False,False,False,0.44,89,True,False
Flowise,90,True,True,False,59.4,2546,True,True
forge-creative-flow,40,False,False,False,1.4,176,True,False
freeitbolt,40,False,False,False,1.03,128,True,False
freetrail,40,False,False,False,0.4,122,True,False
freetrailbolt,40,False,False,False,0.44,86,True,False
fusion-sight-navigator-buddy,40,False,False,False,0.89,139,True,False
fusion-vision-forge,40,False,False,False,0.86,134,True,False
gemini-cli,100,True,True,True,7.84,545,True,True
git-insight-hub,40,False,False,False,1.48,207,True,False
git-mcp,100,True,True,True,106.81,267,True,True
githubdoco,40,False,False,False,0.89,103,True,False
githubhubbolt,40,False,False,False,0.37,92,True,False
githubrepoanalyzer,40,False,False,False,0.49,125,True,False
goose,90,True,True,False,129.6,624,True,True
guardian-ai-speak,40,False,False,False,1.38,196,True,False
hackathonbolt,50,False,False,False,1.24,176,True,False
Harvard-Algorithmic-Trading-with-AI,65,False,False,False,8.54,71,True,True
hermes-agent,100,True,True,True,31.57,1632,True,True
hyperdrive-ai-nexus,40,False,False,False,1.35,175,True,False
hyperlink-organizer-plus,40,False,False,False,1.26,172,True,False
ideaforgemobilebolt,40,False,False,False,0.71,82,True,False
idealaunch-hub,75,True,True,False,1.89,212,True,False
image-code-scholar,40,False,False,False,1.14,186,True,False
influence-bloom-hub,40,False,False,False,1.1,166,True,False
insight-enterprise-ai-nexus,40,False,False,False,1.21,185,True,False
insight-garden-craft,40,False,False,False,1.33,152,True,False
InstantCoder,65,False,False,False,6.19,124,True,True
intellicode-nexus,40,False,False,False,0.99,144,True,False
intellitool-dash,40,False,False,False,1.32,164,True,False
JARVIS-Ecosystem,40,False,False,True,0.59,103,True,False
kamakaze-jarvis-inspired-ai-assistant,40,False,False,False,1.31,169,True,False
kamakaze-jarvis-inspired-ai-assistant-1,40,False,False,False,1.45,170,True,False
kamikaze-ai-buddy,40,False,False,False,1.34,177,True,False
kbbolt,40,False,False,False,0.51,92,True,False
kbbolt2,40,False,False,False,0.24,49,True,False
keno-oracle,10,False,False,False,0.03,27,False,False
keno-oz-oracle,40,False,False,False,1.91,201,True,False
kenobolt,40,False,False,False,0.59,104,True,False
keymaster-bot,55,False,False,False,1.71,173,True,True
knnoo,30,False,False,False,0.03,46,True,False
knowl-ai-nexus,40,False,False,False,0.92,155,True,False
ladybird,100,True,True,True,106.4,16009,True,True
leahmfoots_a-889354,65,False,False,False,1.25,135,True,True
leahmfoots_ai-coder-s-compass,90,True,True,False,1.43,198,True,True
leahmfoots_ai-deals-master,90,True,True,False,1.85,212,True,True
leahmfoots_ai-dev-platform,65,False,False,False,1.24,201,True,True
leahmfoots_ai-development-control-system,65,False,False,False,1.39,185,True,True
leahmfoots_ai-pilot-house,90,True,True,False,1.33,160,True,True
